"class","order","family","genus","sci_name","atlantic","ne_pacific","nw_pacific","indian","mediterranean","s_pacific","alb_global_analysis","cclme_alb_diet","cclme_fed_saip_pre","cclme_frdcps","cclme_dfo","cclme_iys","atl_med_ind","pacific"
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus","Arctozenus risso",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Argentiniformes","Argentinidae","Argentina","Argentina sialis",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Cephalopoda","Octopoda","Argonautidae","Argonauta","Argonauta argo",1,1,0,1,1,0,1,1,1,1,0,0,1,1
"Cephalopoda","Octopoda","Argonautidae","Argonauta","Argonauta nodosus",1,0,0,0,0,1,1,0,0,0,0,0,1,1
"Cephalopoda","Octopoda","Argonautidae","Argonauta","Argonauta nouryi",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus aculeatus",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus hemigymnus",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus olfersii",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus sladeni",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Stomiiformes","Stomiidae","Aristostomias","Aristostomias scintillans",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus","Arnoglossus imperialis",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus","Ateleopus natalensis",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops","Atherinops affinis",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis","Atherinopsis californiensis",0,1,0,0,0,0,1,1,1,1,0,0,0,1
"Gastropoda","Littorinimorpha","Atlantidae","Atlanta","Atlanta peronii",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Amphipoda","Atylidae","Atylus","Atylus tridens",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita",0,0,0,0,0,0,0,0,0,1,0,0,0,1
