"class","order","family","genus","sci_name","alt_names","tax_level","life_stage","trophic_level","troph_lev_se","troph_estimate","IUCN_status","fisheries_status","commercial","recreational"
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","Ammodytes hexapterus","species","larva",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Perciformes","Zaproridae","Zaprora","Zaprora silenus","Zaprora silenus","species","juvenile",NA,NA,NA,"NE","subsistence",1,0
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes rastrelliger","Sebastes rastrelliger; Sebastes (Pteropodus) rastrelliger (Jordan & Gilbert, 1880)· accepted, alternate representation; Sebastichthys rastrelliger Jordan & Gilbert, 1882","species","larva",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes auriculatus","Sebastes auriculatus; Sebastes (Pteropodus) auriculatus Girard, 1854; Sebastodes auriculatus (Girard, 1854)","species","juvenile",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis vulsa","Agonopsis vulsa; Agonopsis emmelane (Jordan & Starks, 1895); Agonus vulsus Jordan & Gilbert, 1880; Averruncus emmelane Jordan & Starks, 1895; Podothecus vulsus (Jordan & Gilbert, 1880); Stelgis vulsus (Jordan & Gilbert, 1880); Xystes axinophrys Jordan & Starks, 1895","species","adult",3.3,0.5,"Relatives","NE","none",0,0
"Actinopterygii","Scorpaeniformes","Rhamphocottidae","Rhamphocottus","Rhamphocottus richardsonii","Rhamphocottus richardsonii","species","larva",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Scorpaeniformes","Peristediidae","Peristedion","Peristedion gracile",NA,"species","larva",NA,NA,NA,"LC","none",0,0
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes levis","Sebastes levis; Sebastes (Sebastes incertae sedis) levis (Eigenmann & Eigenmann, 1889); Sebastichthys levis Eigenmann & Eigenmann, 1890","species","juvenile",NA,NA,NA,"NE","none",0,0
"Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus platyceros","Pandalus platyceros","species","juvenile",NA,NA,NA,"NE","none",0,0
"Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus platyceros","Pandalus platyceros","species","larva",NA,NA,NA,"NE","none",0,0
"Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus platyceros","Pandalus platyceros","species","adult",3.66,0.29,NA,"NE","commercial",1,0
"Malacostraca","Decapoda","Sergestidae","Robustosergia","Robustosergia robusta",NA,"species","larva",NA,NA,NA,"NE","none",0,0
"Malacostraca","Decapoda","Sergestidae","Robustosergia","Robustosergia robusta",NA,"species","juvenile",NA,NA,NA,"NE","none",0,0
"Malacostraca","Decapoda","Sergestidae","Robustosergia","Robustosergia robusta",NA,"species","adult",NA,NA,NA,"NE","none",0,0
"Malacostraca","Decapoda","Benthesicymidae","Gennadas","Gennadas elegans",NA,"species","juvenile",NA,NA,NA,"NE","none",0,0
"Malacostraca","Decapoda","Benthesicymidae","Gennadas","Gennadas elegans",NA,"species","larva",NA,NA,NA,"NE","none",0,0
"Malacostraca","Decapoda","Benthesicymidae","Gennadas","Gennadas elegans",NA,"species","adult",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou",NA,"species","juvenile",NA,NA,NA,"LC","none",0,0
"Malacostraca","Amphipoda","Platyscelidae","Platyscelus","Platyscelus armatus",NA,"species","adult",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou",NA,"species","larva",NA,NA,NA,"LC","none",0,0
"Malacostraca","Amphipoda","Cyphocarididae","Cyphocaris","Cyphocaris faurei",NA,"species","adult",NA,NA,NA,"NE","none",0,0
