column,trait_type,instructions,data_type,values,data_collection_source,search_terms,rfishbase_functions,rfishbase_fields,links
refuge_url3,behavioral,Link to reference source,url,,,,,,
refuge_ref4,behavioral,Reference for refuge use information,reference,,,,,,
refuge_url4,behavioral,Link to reference source,url,,,,,,
season_migrant,behavioral,"Seasonal migration behavior: Does it undergo seasonal migratory patterns or reproductive behaviour that changes abundance seasonally? 1 = yes; 0 = no, non-migrant, has a stable abundance year-round.",binomial,"1, 0",FishBase/SeaLifeBase; Literature,"""genus species"" AND (season* OR spawn* OR annual OR summer OR winter OR spring OR autumn OR fall) AND migration",,,
season_note,behavioral,Notes from database or literature about seasonal migration behavior,annotation,,FishBase/SeaLifeBase; Literature,,,,
season_ref,behavioral,Reference for seasonal migration information,reference,,,,,,
season_url,behavioral,Link to reference source,url,,,,,,
season_ref2,behavioral,Reference for seasonal migration information,reference,,,,,,
season_url2,behavioral,Link to reference source,url,,,,,,
season_ref3,behavioral,Reference for seasonal migration information,reference,,,,,,
season_url3,behavioral,Link to reference source,url,,,,,,
AnaCat,behavioral,FishBase covariate describing migrational life history strategies. Use cautiously,categorical,"anadromous, catadromous, oceanodromous, amphidromous, non-migratory",FishBase/SeaLifeBase,,species,AnaCat,
body_shape,morphological,Search for species photo in FishBase or online.,categorical,"eel-like, elongated, fusiform, globiform, compressiform, depressiform",FishBase/SeaLifeBase; Internet search,"""genus species""",species,BodyShapeI,https://www.researchgate.net/figure/Body-shape-of-fish-according-to-six-categories-with-species-examples-of-each-category_fig2_332867007
l_min,morphological,"Minimum length for the specific lifestage. For adults: length at maturity (Lmax, Lm); For juveniles: length of metamorphosis and/or post-flexion (maximum larval size).",continuous,length (cm),FishBase/SeaLifeBase; Literature,"""genus species"" AND (juvenile OR adult) AND (length OR size OR ""size range"") OR (maturity OR metamorphosis OR transformation OR ""post-flexion"")",maturity,"LengthMatMin, Lm, Type1",
l_min_type,morphological,Type of length measurement,categorical,See measurement definitions table in the 'Morphometric Measurement Guide',FishBase/SeaLifeBase; Literature,"""genus species"" AND (juvenile OR adult) AND (length OR size OR ""size range"") OR (maturity OR metamorphosis OR transformation OR ""post-flexion"")",maturity,"LengthMatMin, Lm, Type1",
