column,trait_type,description,data_type,values
gregarious_url,behavioral,Link to reference source,url,NA
gregarious_ref2,behavioral,Reference for aggregtion behaviour,reference,NA
gregarious_url2,behavioral,Link to reference source,url,NA
gregarious_ref3,behavioral,Reference for aggregtion behaviour,reference,NA
gregarious_url3,behavioral,Link to reference source,url,NA
addl_ref,,Additional sources for trait data,reference,NA
addl_url,,Additional link to reference source,url,NA
addl_ref2,,Additional sources for trait data,reference,NA
addl_url2,,Additional link to reference source,url,NA
addl_ref3,,Additional sources for trait data,reference,NA
addl_url3,,Additional link to reference source,url,NA
addl_ref4,,Additional sources for trait data,reference,NA
addl_url4,,Additional link to reference source,url,NA
